rank,city,state,population,latitude,longitude
9001,Clyde,NC,1378,35.5334379,-82.910691
9002,Atlantic Beach,NC,1378,34.6990505,-76.7402108
9003,Prince's Lakes,IN,1378,39.3596998,-86.1051897
9004,Comanche,OK,1378,34.3689748,-97.963924
9005,Newville,PA,1377,40.3056615,-75.2198962
9006,Locust Grove,OK,1377,36.2000936,-95.1677401
9007,Pecos,NM,1377,35.5741265,-105.6744719
9008,New Berlin,IL,1376,39.7253276,-89.9106632
9009,Luna Pier,MI,1376,41.8069907,-83.442433
9010,Shell Lake,WI,1376,45.7430293,-91.923109
9011,Woodville,WI,1376,44.9511414,-92.2925599
9012,Winnebago,MN,1375,43.767733,-94.1657949
9013,Seven Points,TX,1375,32.3388605,-96.23151234
9014,Hebron,IL,1375,42.4716853,-88.432318
9015,Appleton,MN,1374,45.196906,-96.019767
9016,Maple Bluff,WI,1374,43.1183282,-89.3795628
9017,Darmstadt,IN,1374,38.0992098,-87.5789075
9018,Vanceburg,KY,1374,38.599243,-83.3187952
